FID,CLASS,COMID,REACHCODE,GNIS_ID,GNIS_NAME
25042,3,14997577,1.80201E+13,230656,Pilot Creek
25043,3,14991911,1.80201E+13,237141,Wabena Creek
25044,3,8040583,1.80201E+13,0, 
25045,4,2843155,1.80201E+13,0, 
25046,3,14992151,1.80201E+13,267066,North Fork American River
25047,4,8062501,1.80201E+13,0, 
25048,3,8029436,1.80201E+13,267166,Red Clover Creek
25049,6,8006871,1.80201E+13,234369,North Fork Cache Creek
25050,4,2849737,1.80201E+13,235514,Stone Corral Creek
25051,7,12074516,1.80201E+13,267782,Stony Creek
25052,3,2764504,1.80202E+13,222172,Deer Creek
25053,6,2782203,1.80202E+13,0, 
25054,3,8027018,1.80201E+13,261733,Indian Creek
25055,3,8063561,1.80201E+13,257215,Bloody Run
25056,4,2775900,1.80201E+13,260381,French Creek
25057,3,8026654,1.80201E+13,262331,Last Chance Creek
25058,4,7991263,1.80201E+13,0, 
25059,3,8037187,1.80201E+13,267458,South Fork Feather River
25060,4,7991283,1.80201E+13,0, 
25061,3,8039659,1.80201E+13,264043,Nelson Creek
25062,7,12072992,1.80201E+13,267782,Stony Creek
25063,3,2764460,1.80202E+13,229642,North Fork Bear Creek
25064,3,8028366,1.80201E+13,256910,Big Creek
25065,3,7962687,1.802E+13,266985,McCloud River
25066,3,7948384,1.802E+13,265494,Rock Creek
25067,3,7947992,1.802E+13,262239,Kosk Creek
25068,3,7948412,1.802E+13,220202,Burney Creek
25069,3,8064529,1.80201E+13,268385,Trap Creek
25070,4,7962745,1.802E+13,0, 
25071,3,2775388,1.80201E+13,233565,Bucks Creek
25072,3,7948962,1.802E+13,268459,Tule River
25073,3,7994153,1.80201E+13,0, 
25074,3,2773782,1.80201E+13,0, 
25075,3,2773622,1.80201E+13,0, 
25076,3,14993113,1.80201E+13,0, 
25077,6,2800387,1.80202E+13,245862,Middle Fork Cottonwood Creek
25078,3,8063553,1.80201E+13,261719,Indian Creek
25079,5,7951322,1.802E+13,1654947,Pit River
25080,3,948020167,1.802E+13,0, 
25081,3,8026770,1.80201E+13,227088,Lights Creek
25082,3,7995019,1.80201E+13,0, 
25083,3,7991329,1.80201E+13,263605,Mill Creek
25084,4,15022609,1.80201E+13,218341,Arcade Creek
25085,3,8063925,1.80201E+13,259341,Diamond Creek
25086,6,2848739,1.80201E+13,223927,Freshwater Creek
25087,3,14982088,1.80201E+13,266180,Silver Creek
25088,4,2843325,1.80201E+13,234686,Sheep Corral Creek
25089,3,7952200,1.802E+13,267482,South Fork Montgomery Creek
25090,5,7952810,1.802E+13,1654947,Pit River
25091,3,2774370,1.80201E+13,229191,Mountain Meadows Creek
25092,3,8058117,1.80201E+13,259208,Deer Creek
25093,3,8039803,1.80201E+13,268877,West Branch Nelson Creek
25094,6,12074650,1.80201E+13,0, 
25095,6,8006353,1.80201E+13,263845,Morrison Creek
25096,3,7923237,1.802E+13,0, 
25097,3,948021034,1.80201E+13,0, 
25098,3,8058541,1.80201E+13,265488,Rock Creek
25099,2,7982824,1.80201E+13,238295,Yuba River
25100,4,948021185,1.80201E+13,238232,Yankee Slough
25101,3,8026534,1.80201E+13,269116,Williams Creek
25102,3,2765140,1.80202E+13,218740,Battle Creek
25103,3,8058049,1.80201E+13,262561,Little Canyon Creek
25104,3,948021045,1.80201E+13,0, 
25105,4,8056835,1.80201E+13,259923,Empire Creek
25106,3,7923735,1.802E+13,0, 
25107,5,7951368,1.802E+13,1654947,Pit River
25108,3,14982962,1.80201E+13,0, 
25109,3,2775612,1.80201E+13,233962,Grizzly Creek
25110,3,8026854,1.80201E+13,1666228,Rogers Creek
25111,3,8037169,1.80201E+13,264744,Pinchard Creek
25112,6,8006243,1.80201E+13,0, 
25113,3,14991815,1.80201E+13,253881,East Fork North Fork North Fork American River
25114,3,2774814,1.80201E+13,0, 
25115,4,2848729,1.80201E+13,221602,Cortina Creek
25116,4,12068840,1.80202E+13,0, 
25117,3,2774284,1.80201E+13,0, 
25118,3,7990679,1.80201E+13,265939,Scott Creek
25119,3,8064127,1.80201E+13,267540,South Yuba River
25120,3,8040051,1.80201E+13,263528,Middle Fork Feather River
25121,7,12073008,1.80201E+13,0, 
25122,4,15022639,1.80201E+13,218096,Alder Creek
25123,3,7961439,1.802E+13,0, 
25124,6,2800691,1.80202E+13,258536,Cold Fork
25125,3,8028354,1.80201E+13,256910,Big Creek
