OBJECTID,HUC_8,HUC_10,HUC_12,ACRES,NCONTRB_A,HU_10_GNIS,HU_12_GNIS,HU_10_DS,HU_10_NAME,HU_10_MOD,HU_10_TYPE,HU_12_DS,HU_12_NAME,HU_12_MOD,HU_12_TYPE,META_ID,STATES,CVA_NAME,Shape_Length,Shape_Area
3046,18010105,1801010503,180101050302,25490,0,,,1801010505,Dobbyn Creek,NM,S,180101050303,South Dobbyn Creek,NM,S,CA01,CA,,54288.15818,103153962.6
3047,18010106,1801010604,180101060405,15444,0,,,1801010510,Lower South Fork Eel River,NM,S,180101060407,Butte Creek-South Fork Eel River,NM,S,CA01,CA,,43789.06192,62497945.17
3049,18010106,1801010604,180101060404,23498,0,,,1801010510,Lower South Fork Eel River,NM,S,180101060407,Salmon Creek,NM,S,CA01,CA,,49385.88369,95092700.03
3184,18010106,1801010601,180101060101,24183,0,,,1801010603,Upper South Fork Eel River,NM,S,180101060102,Upper Tenmile Creek,NM,S,CA01,CA,,51105.04226,97866722.09
3188,18010106,1801010601,180101060103,38025,0,,,1801010603,Upper South Fork Eel River,NM,S,180101060105,Elder Creek-South Fork Eel River,NM,S,CA01,CA,,74096.60762,153883259.8
3189,18010104,1801010405,180101040504,13297,0,,,1801010502,Lower Middle Fork Eel River,NM,S,180101040506,Hayshed Creek-Middle Fork Eel River,NM,S,CA01,CA,,37158.79281,53812756.65
3190,18010104,1801010405,180101040507,10401,0,,,1801010502,Lower Middle Fork Eel River,NM,S,180101050202,Goforth Creek-Middle Fork Eel River,NM,S,CA07,CA,,31384.60974,42089612.61
3539,18010105,1801010507,180101050702,23160,0,,,1801010509,Upper Van Duzen River,NM,S,180101050703,Shanty Creek-Van Duzen River,NM,S,CA01,CA,,52519.43508,93726822.44
3545,18010105,1801010506,180101050602,25740,0,,,1801010510,Larabee Creek,NM,S,180101051001,Lower Larabee Creek,NM,S,CA01,CA,,54681.25722,104165741.4
3548,18010105,1801010509,180101050901,10772,0,,,1801010511,Lower Van Duzen River,NM,S,180101050902,Butte Creek,NM,S,CA01,CA,,31297.01305,43592026.85
3549,18010105,1801010510,180101051001,29307,0,,,1801010511,Price Creek-Eel River,NM,S,180101051002,Bear Creek-Eel River,NM,S,CA01,CA,,55705.07568,118603387.4
4182,18010103,1801010305,180101030501,11675,0,,,1801010502,Bucknell Creek-Eel River,NM,S,180101030502,Bucknell Creek,NM,S,CA01,CA,,33992.53977,47245229.45
4183,18010103,1801010301,180101030102,17238,0,,,1801010302,Rice Fork,NM,S,180101030103,Bear Creek-Rice Fork,NM,S,CA01,CA,,55746.23786,69758434.24
4192,18010103,1801010301,180101030103,26829,0,,,1801010302,Rice Fork,NM,S,180101030205,Rice Creek-Rice Fork,NM,S,CA01,CA,,55569.2525,108575400.9
4196,18010103,1801010304,180101030401,14718,0,,,1801010305,Outlet Creek,NM,S,180101030403,Baechtel Creek,OC,S,CA01,CA,,41459.47155,59563458.36
4200,18010103,1801010304,180101030402,11116,0,,,1801010305,Outlet Creek,NM,S,180101030403,Davis Creek,OC,S,CA01,CA,,42374.06886,44984705.95
4203,18010103,1801010302,180101030205,15929,0,,,1801010305,Corbin Creek-Eel River,"DM,RS",S,180101030502,Lake Pillsbury-Eel River,"DM,RS",S,CA01,CA,,47806.90832,64463611.55
4212,18010103,1801010305,180101030502,26832,0,,,1801010502,Bucknell Creek-Eel River,NM,S,180101030503,Soda Creek-Eel River,DM,S,CA01,CA,,53126.54813,108585890.2
4216,18010103,1801010303,180101030302,20384,0,,,1801010305,Tomki Creek,NM,S,180101030503,Lower Tomki Creek,NM,S,CA01,CA,,53811.66298,82492244.55
4222,18010103,1801010304,180101030403,21399,0,,,1801010305,Outlet Creek,NM,S,180101030405,Mill Creek-Outlet Creek,OC,S,CA01,CA,,56539.36553,86598598.18
4229,18010103,1801010305,180101030503,22071,0,,,1801010502,Bucknell Creek-Eel River,NM,S,180101030504,Thomas Creek-Eel River,DM,S,CA01,CA,,48755.43596,89316775.52
4236,18010103,1801010302,180101030204,25285,0,,,1801010305,Corbin Creek-Eel River,NM,S,180101030205,Smokehouse Creek-Lake Pillsbury,RS,S,CA01,CA,,51572.55286,102326845.1
4238,18010103,1801010302,180101030203,36259,0,,,1801010305,Corbin Creek-Eel River,NM,S,180101030205,Cold Creek-Eel River,NM,S,CA01,CA,,61864.55761,146735776.5
4243,18010103,1801010304,180101030405,17815,0,,,1801010305,Outlet Creek,NM,S,180101030406,Sherwood Creek-Outlet Creek,NM,S,CA01,CA,,43723.03612,72096822.18
4244,18010103,1801010303,180101030301,20764,0,,,1801010305,Tomki Creek,NM,S,180101030302,Upper Tomki Creek,NM,S,CA01,CA,,48320.23751,84030495.36
4246,18010103,1801010305,180101030504,26643,0,,,1801010502,Bucknell Creek-Eel River,NM,S,180101030505,Twin Bridges Creek-Eel River,NM,S,CA01,CA,,52785.35403,107822421.4
4260,18010103,1801010302,180101030202,17855,0,,,1801010305,Corbin Creek-Eel River,NM,S,180101030203,Trout Creek-Eel River,NM,S,CA01,CA,,44034.16625,72256930.94
4262,18010104,1801010404,180101040401,27864,0,,,1801010405,Elk Creek,NM,S,180101040403,Bear Creek-Elk Creek,NM,S,CA01,CA,,51930.09718,112762026.6
4263,18010103,1801010302,180101030201,27935,0,,,1801010305,Corbin Creek-Eel River,NM,S,180101030203,Corbin Creek,NM,S,CA01,CA,,50387.94013,113048373.7
4269,18010103,1801010305,180101030505,25101,0,,,1801010502,Bucknell Creek-Eel River,NM,S,180101030506,Indian Creek-Eel River,NM,S,CA01,CA,,48025.39281,101581935
