full_date,Discharge_CFS
2010-04-17,757
2010-04-17,757
2010-04-17,757
2010-04-17,757
2010-04-17,757
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-18,764
2010-04-18,764
2010-04-18,764
2010-04-18,764
2010-04-18,764
2010-04-18,764
2010-04-18,764
2010-04-18,764
2010-04-18,764
2010-04-18,764
2010-04-18,764
2010-04-18,764
2010-04-18,764
2010-04-18,764
2010-04-18,757
2010-04-18,757
2010-04-18,757
2010-04-18,757
2010-04-18,757
2010-04-18,757
2010-04-18,757
2010-04-18,757
2010-04-18,750
2010-04-18,750
2010-04-18,750
2010-04-18,750
2010-04-18,750
2010-04-18,750
2010-04-18,750
2010-04-18,750
2010-04-18,743
2010-04-18,743
2010-04-18,743
2010-04-18,743
2010-04-18,743
2010-04-18,743
2010-04-18,743
2010-04-18,743
2010-04-18,743
2010-04-18,743
2010-04-18,743
2010-04-18,743
2010-04-18,743
2010-04-18,743
2010-04-18,743
2010-04-18,743
2010-04-18,743
2010-04-18,743
2010-04-18,750
2010-04-18,750
2010-04-18,750
2010-04-18,750
2010-04-18,757
2010-04-18,757
2010-04-18,757
2010-04-18,764
2010-04-18,764
2010-04-18,764
2010-04-18,764
2010-04-18,771
2010-04-18,771
2010-04-18,771
2010-04-18,771
2010-04-18,778
2010-04-18,778
2010-04-18,778
2010-04-18,778
2010-04-18,778
2010-04-18,778
2010-04-18,778
2010-04-18,778
2010-04-18,785
2010-04-18,785
2010-04-18,785
2010-04-18,785
2010-04-18,785
2010-04-18,785
2010-04-18,785
2010-04-18,785
2010-04-18,785
2010-04-18,785
2010-04-18,785
2010-04-18,785
2010-04-18,785
2010-04-18,785
2010-04-18,785
2010-04-18,785
2010-04-18,785
2010-04-18,785
2010-04-18,785
2010-04-18,785
2010-04-18,785
2010-04-18,785
2010-04-18,785
2010-04-18,785
2010-04-18,785
2010-04-19,785
2010-04-19,785
2010-04-19,785
2010-04-19,785
2010-04-19,785
2010-04-19,785
2010-04-19,785
2010-04-19,785
2010-04-19,778
2010-04-19,778
2010-04-19,778
2010-04-19,778
2010-04-19,778
2010-04-19,778
2010-04-19,778
2010-04-19,778
2010-04-19,771
2010-04-19,771
2010-04-19,771
2010-04-19,771
2010-04-19,771
2010-04-19,771
2010-04-19,771
2010-04-19,771
2010-04-19,764
2010-04-19,764
2010-04-19,764
2010-04-19,764
2010-04-19,764
2010-04-19,764
2010-04-19,764
2010-04-19,764
2010-04-19,764
2010-04-19,764
2010-04-19,764
2010-04-19,764
2010-04-19,764
2010-04-19,764
2010-04-19,764
2010-04-19,764
2010-04-19,764
2010-04-19,764
2010-04-19,764
2010-04-19,771
2010-04-19,778
2010-04-19,778
2010-04-19,785
2010-04-19,785
2010-04-19,792
2010-04-19,792
2010-04-19,800
2010-04-19,800
2010-04-19,807
2010-04-19,807
2010-04-19,814
2010-04-19,814
2010-04-19,814
2010-04-19,822
2010-04-19,822
2010-04-19,822
2010-04-19,829
2010-04-19,829
2010-04-19,829
2010-04-19,837
2010-04-19,837
2010-04-19,837
2010-04-19,837
2010-04-19,837
2010-04-19,837
2010-04-19,837
2010-04-19,837
2010-04-19,837
2010-04-19,837
2010-04-19,837
2010-04-19,844
2010-04-19,844
2010-04-19,844
2010-04-19,844
2010-04-19,844
2010-04-19,844
2010-04-19,844
2010-04-19,844
2010-04-19,844
2010-04-19,844
2010-04-19,844
2010-04-19,844
2010-04-19,844
2010-04-19,844
2010-04-19,844
2010-04-19,844
2010-04-19,844
2010-04-19,844
2010-04-19,844
2010-04-19,844
2010-04-19,844
2010-04-19,844
2010-04-20,844
2010-04-20,844
2010-04-20,844
2010-04-20,844
2010-04-20,837
2010-04-20,837
2010-04-20,837
2010-04-20,837
2010-04-20,837
2010-04-20,837
2010-04-20,837
2010-04-20,837
2010-04-20,829
2010-04-20,829
2010-04-20,829
2010-04-20,829
2010-04-20,829
2010-04-20,829
2010-04-20,829
2010-04-20,822
2010-04-20,822
2010-04-20,822
2010-04-20,822
2010-04-20,822
2010-04-20,822
2010-04-20,822
2010-04-20,822
2010-04-20,822
2010-04-20,822
2010-04-20,822
2010-04-20,822
2010-04-20,829
2010-04-20,829
2010-04-20,837
2010-04-20,837
2010-04-20,844
2010-04-20,852
2010-04-20,859
2010-04-20,867
2010-04-20,875
2010-04-20,875
2010-04-20,890
2010-04-20,898
2010-04-20,906
2010-04-20,922
2010-04-20,938
2010-04-20,954
2010-04-20,970
2010-04-20,979
2010-04-20,995
2010-04-20,1010
2010-04-20,1020
2010-04-20,1040
2010-04-20,1060
2010-04-20,1070
2010-04-20,1090
2010-04-20,1110
2010-04-20,1120
2010-04-20,1120
2010-04-20,1130
2010-04-20,1140
2010-04-20,1140
2010-04-20,1150
2010-04-20,1160
2010-04-20,1170
